id,repo_fullname,commits_count,commits_days_since_first,commits_days_since_last,commits_total_lines_added,commits_total_lines_removed,commits_avg_added,commits_avg_removed,commits_avg_files_changed,commits_avg_message_length,commits_avg_per_day,commits_avg_per_day_real,commits_max_per_day,contributors_count,contributors_top_avg_commits,contributors_top_avg_participation_week,contributors_top_avg_additions,contributors_top_avg_deletions,forks_count,forks_avg_per_day,forks_avg_max_per_day,issues_total_comments,issues_count,issues_open,issues_labels,issues_avg_labels,issues_avg_closing_time,issues_avg_comment_time,issues_avg_comments,issues_avg_comment_length,issues_avg_title_length,issues_avg_body_length,issues_avg_per_day,issues_avg_per_day_real,issues_max_per_day,repo_size,repo_topics,repo_branches,repo_age_days,repo_workflows,repo_languages,repo_milestones,repo_watchers,repo_deployments,repo_readme_length,repo_network_members,pulls_count,pulls_total_lines_added,pulls_total_lines_removed,pulls_avg_lines_added,pulls_avg_lines_removed,pulls_avg_closing_time,pulls_avg_comments,pulls_avg_review_comments,pulls_avg_Commits,pulls_avg_body_length,pulls_avg_title_length,pulls_avg_files_changed,pulls_avg_labels,pulls_avg_created_per_day,pulls_avg_created_per_day_real,pulls_max_created_per_day,releases_count,releases_tags,releases_total_downloads,releases_avg_body_length,releases_avg_title_length,releases_avg_assets,releases_avg_assets_downloads,releases_avg_assets_size,releases_avg_downloads_per_day,stars_count,stars_avg_per_day_real,stars_max_per_day,wf_count,wf_avg_duration,wf_avg_success_duration,wf_avg_failure_duration,wf_avg_successes_per_day,wf_avg_successes_per_day_real,wf_avg_fails_per_day,created_at,updated_at
36,MicrosoftDocs/DocsLegal-pr.nl-BE,33,1270,90,1399,393,42,12,2,32,,1,3,9,2,2,52,12,3,0,1,18,14,0,0,0,0,0,1,2026,21,0,0,1,2,87,0,4,1270,0,1,0,2,0,104,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 22:19:31.262126,2022-03-05 22:19:31.262126
37,MicrosoftDocs/nav-content.nl-be,34,1717,93,57276,8407,1685,247,42,43,,1,2,7,4,3,1684,247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7769,0,6,1717,0,2,0,2,0,12751,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 22:31:43.656239,2022-03-05 22:31:43.656239
38,Azure/azure-event-hubs-for-kafka,295,1306,60,41856,2084,142,7,2,50,,3,46,26,9,3,129,43,153,0,2,486,187,41,45,0,0,0,2,466,52,1972,0,1,4,2150,8,6,1306,0,7,0,156,0,11902,155,6,873,3,145,0,0,0,0,1,966,56,4,0,0,1,2,0,0,0,0,0,0,0,0,,156,1,2,0,0,0,0,0,0,0,2022-03-05 22:34:56.251364,2022-03-05 22:34:56.251364
39,MicrosoftDocs/nav-content.nl-be,68,1717,93,114552,16814,1685,247,42,43,,3,4,7,4,3,1684,247,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7769,0,6,1717,0,2,0,2,0,12751,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 22:40:02.81098,2022-03-05 22:40:02.81098
40,Azure/azure-event-hubs-for-kafka,590,1306,60,83712,4168,142,7,2,50,,6,92,26,9,3,129,43,153,0,2,486,187,41,45,0,0,0,2,466,52,1972,0,1,4,2150,8,6,1306,0,7,0,156,0,11902,155,6,873,3,145,0,0,0,0,1,966,56,4,0,0,1,2,0,0,0,0,0,0,0,0,,156,1,2,0,0,0,0,0,0,0,2022-03-05 22:43:05.074832,2022-03-05 22:43:05.074832
41,priyaprabhupai/cobol-programs,245,684,648,19241,1828,79,7,3,21,,27,64,31,7,2,78,7,15,0,11,0,2,1,0,0,0,0,0,0,16,925,0,2,2,13744,0,2,684,0,2,0,2,0,0,15,1,1,0,1,0,0,0,0,1,1820,12,1,0,0,1,1,0,0,0,0,0,0,0,0,,2,1,1,0,0,0,0,0,0,0,2022-03-05 23:58:14.512428,2022-03-05 23:58:14.512428
42,Vizzuality/GeoCAT,786,4281,914,100337,58859,128,75,5,35,,4,32,9,58,11,131,115,9,0,4,24,38,2,0,0,0,0,0,114,31,126,0,1,4,4051,0,7,4281,0,5,0,15,0,1047,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,530,40,0,0,0,,15,1,5,0,0,0,0,0,0,0,2022-03-06 00:24:02.486619,2022-03-06 00:24:02.486619
43,Techtonica/keyboard-shortcuts-practice,348,1516,126,24686,9743,71,28,2,74,,5,31,41,7,1,71,32,56,0,21,377,158,18,249,1,0,0,2,192,43,588,0,2,27,7893,11,12,1519,0,4,0,25,172,1993,56,4,42,34,10,8,0,0,0,1,4899,36,1,1,0,1,3,0,0,0,0,0,0,0,0,,25,1,2,0,0,0,0,0,0,0,2022-03-06 00:27:22.669862,2022-03-06 00:27:22.669862
44,Azure-Samples/gaming-cognitive-services-text-translation,15,1089,393,1080,77,72,5,2,16,,2,9,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,1,1089,0,1,0,2,0,1153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,313,0,52,1,44,9092,,2,1,1,0,0,0,0,0,0,0,2022-03-06 00:27:39.912161,2022-03-06 00:27:39.912161
45,vogellacompany/gittraining-shared,48,4026,24,2693,909,56,19,4,62,,4,29,8,3,1,123,77,9,0,2,677,28,0,1,0,0,0,24,458,19,280,0,2,9,283,0,37,3145,1,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0.016886574074074075,0.015572916666666667,0.0013136574074074075,0,8,0,2022-03-06 00:28:21.577295,2022-03-06 00:28:21.577295
